Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Data Analyst,Data Services,527,First Name Surname 527,Leeds Centre,London,19/01/2015,15/01/2016,2:2,University College London,Computer Science
PMO,Business Analysis,548,First Name Surname 548,Edinburgh,London,19/01/2015,15/01/2016,2:2,University of East Anglia,English
MX.3 Support,Support,565,First Name Surname 565,Moorgate,London,19/01/2015,17/01/2016,2:1,Open University,Business and Management Studies
PMO,PMO,546,First Name Surname 546,Birmingham New Street,London,19/01/2015,18/01/2016,2:2,University of Chester,Electrical and Electronic Engineering
Development (Java),Consulting,470,First Name Surname 470,Birmingham New Street,London,19/01/2015,18/01/2016,1,University of Chester,Geography and Environmental Sciences
Development (Java),Consulting,473,First Name Surname 473,Birmingham New Street,London,19/01/2015,18/01/2016,2:1,Loughbourgh University,Marketing
Testing,Testing,557,First Name Surname 557,Newcastle,London,19/01/2015,18/01/2016,2:1,Loughbourgh University,Electrical and Electronic Engineering
Application Support,Support,512,First Name Surname 512,Newcastle,London,19/01/2015,18/01/2016,2:1,University of Salford,Economics
Application Support,Support,513,First Name Surname 513,Newcastle,London,19/01/2015,18/01/2016,2:2,University of Nottingham,Mechanical Engineering
PMO,PMO,576,First Name Surname 576,Edinburgh,London,19/01/2015,18/01/2016,2:1,University of Leeds,Business and Management Studies
Application Support,Support,560,First Name Surname 560,Leeds Centre,London,19/01/2015,30/04/2016,2:2,University of York,Chemistry
PMO,PMO,520,First Name Surname 520,Leeds Centre,London,19/01/2015,30/06/2016,2:2,University of York,Business and Management Studies
PMO,Data Services,564,First Name Surname 564,Birmingham New Street,London,19/01/2015,14/09/2016,1,Glasgow Caledonian University,Accounting and Finance
Development (Java),Support,525,First Name Surname 525,Newcastle,London,20/01/2015,31/03/2016,2:1,University of Salford,Economics
Business Analysis,Business Analysis,563,First Name Surname 563,Leeds Centre,London,21/01/2015,18/01/2016,2:2,University of York,Politics
MX.3 Support,Support,591,First Name Surname 591,Leeds Centre,London,26/01/2015,21/02/2016,1,University of Warwick,Games Design
Development (Java),Support,526,First Name Surname 526,Newcastle,London,26/01/2015,30/06/2016,1,Bangor University,Mathematics
PMO,PMO,575,First Name Surname 575,Edinburgh,London,27/01/2015,29/01/2016,3,University of Essex,Mathematics
Testing,Testing,550,First Name Surname 550,Birmingham New Street,Leeds,28/01/2015,31/12/2015,2:2,University of Leeds,Accounting and Finance
Data Analyst,Data Services,569,First Name Surname 569,Moorgate,London,28/01/2015,29/07/2016,1,University of Central Lancashire,Business and Management Studies
Data Analyst,Data Services,568,First Name Surname 568,Moorgate,London,28/01/2015,29/07/2016,3,Newcastle University ,Economics
PMO,PMO,593,First Name Surname 593,Leeds Centre,London,01/02/2015,30/11/2015,3,University of Liverpool,Civil Engineering
Data Analyst,Data Services,544,First Name Surname 544,Leeds Centre,London,02/02/2015,31/12/2015,2:2,Loughbourgh University,Mechanical Engineering
Development (Java),Consulting,570,First Name Surname 570,Birmingham New Street,South Africa,02/02/2015,31/01/2016,2:2,London School of Economics and Politics,Physics and Astronomy
Data Analyst,PMO,590,First Name Surname 590,Birmingham New Street,Glasgow,02/02/2015,01/02/2016,3,University of Glasgow,Electrical and Electronic Engineering
Application Support,Support,571,First Name Surname 571,Leeds Centre,London,02/02/2015,31/03/2016,3,De Montfort University,Politics
Data Analyst,Data Services,597,First Name Surname 597,Moorgate,London,05/02/2015,26/11/2015,2:2,University of Liverpool,Politics
Development (Java),Consulting,621,First Name Surname 621,Oxford Circus,London,09/02/2015,31/12/2015,2:2,Glasgow Caledonian University,Physics and Astronomy
PMO,PMO,583,First Name Surname 583,Leeds Centre,London,09/02/2015,05/01/2016,3,University of Central Lancashire,Chemistry
Business Analysis,Business Analysis,588,First Name Surname 588,Leeds Centre,London,09/02/2015,05/02/2016,2:2,Glasgow Caledonian University,Politics
Business Analysis,Business Analysis,556,First Name Surname 556,Edinburgh,London,09/02/2015,05/02/2016,2:2,University of Abertay,Accounting and Finance
Business Analysis,Support,586,First Name Surname 586,Edinburgh,London,09/02/2015,05/02/2016,1,Nottingham Trent University,Accounting and Finance
Development (Java),Testing,603,First Name Surname 603,Oxford Circus,London,09/02/2015,08/02/2016,3,Nottingham Trent University,Forensic Computing
PMO,PMO,561,First Name Surname 561,Birmingham New Street,London,09/02/2015,09/02/2016,2:1,University of Warwick,Forensic Computing
Business Analysis,Support,589,First Name Surname 589,Leeds Centre,London,09/02/2015,30/06/2016,1,Loughbourgh University,Mathematics
Development (.Net),Consulting,610,First Name Surname 610,Edinburgh,Leeds,11/02/2015,10/02/2016,2:1,University of Huddersfield,Modern Languages
Cyber Security,Cyber Security,453,First Name Surname 453,Oxford Circus,London,16/02/2015,31/12/2015,2:1,University of Salford,Robotics
Cyber Security,Cyber Security,454,First Name Surname 454,Oxford Circus,London,16/02/2015,31/12/2015,2:1,Loughbourgh University,Law
Cyber Security,Cyber Security,455,First Name Surname 455,Oxford Circus,London,16/02/2015,31/12/2015,2:1,University of Glasgow,Physics and Astronomy
PMO,Business Analysis,636,First Name Surname 636,Edinburgh,London,16/02/2015,31/12/2015,3,Glasgow Caledonian University,Mathematics
Development (.Net),Consulting,642,First Name Surname 642,Birmingham New Street,London,16/02/2015,12/02/2016,3,University of Nottingham,Physics and Astronomy
Development (Java),Consulting,620,First Name Surname 620,Birmingham New Street,Glasgow,16/02/2015,12/02/2016,2:1,University of Brighton,History
Development (Java),Consulting,596,First Name Surname 596,Birmingham New Street,London,16/02/2015,15/02/2016,2:2,University of Glasgow,Biological Sciences
Data Analyst,Data Services,631,First Name Surname 631,Birmingham New Street,Glasgow,16/02/2015,15/02/2016,2:2,London School of Economics and Politics,Computer Science
Data Analyst,Business Analysis,587,First Name Surname 587,Newcastle,London,16/02/2015,15/02/2016,2:1,University of Essex,Chemical Engineering
PMO,PMO,578,First Name Surname 578,Edinburgh,London,16/02/2015,15/02/2016,2:2,University of Brighton,Politics
PMO,PMO,579,First Name Surname 579,Edinburgh,London,16/02/2015,15/02/2016,1,University of Leeds,Mathematics
PMO,PMO,580,First Name Surname 580,Edinburgh,London,16/02/2015,15/02/2016,2:1,University of York,Modern Languages
PMO,PMO,598,First Name Surname 598,Edinburgh,London,16/02/2015,15/02/2016,2:2,Coventry University,Mathematics
Testing,Testing,612,First Name Surname 612,Birmingham New Street,London,16/02/2015,31/03/2016,2:1,University of Glasgow,Chemical Engineering
Application Support,Support,617,First Name Surname 617,Birmingham New Street,London,16/02/2015,20/07/2016,2:2,University of Liverpool,Computer Science
Application Support,Support,595,First Name Surname 595,Leeds Centre,London,18/02/2015,31/12/2015,3,University of Brighton,Biological Sciences
PMO,PMO,647,First Name Surname 647,Newcastle,London,19/02/2015,19/01/2016,3,University of Central Lancashire,Business and Management Studies
Testing,Testing,607,First Name Surname 607,Edinburgh,Leeds,23/02/2015,23/12/2015,2:1,University of Liverpool,Mathematics
Development (.Net),Consulting,559,First Name Surname 559,Moorgate,London,23/02/2015,19/02/2016,2:2,University of Central Lancashire,Civil Engineering
PMO,PMO,611,First Name Surname 611,Edinburgh,Leeds,23/02/2015,19/02/2016,2:2,University of York,Physics and Astronomy
PMO,PMO,622,First Name Surname 622,Leeds Centre,London,23/02/2015,22/02/2016,2:2,University of Abertay,Forensic Computing
Testing,Testing,637,First Name Surname 637,Birmingham New Street,London,23/02/2015,31/03/2016,2:2,University of Brighton,Computer Science
Testing,Testing,608,First Name Surname 608,Edinburgh,Leeds,23/02/2015,29/06/2016,2:1,De Montfort University,Politics
Development (Java),Consulting,635,First Name Surname 635,Birmingham New Street,London,24/02/2015,31/01/2016,3,University of Glasgow,Electrical and Electronic Engineering
Testing,Testing,614,First Name Surname 614,Leeds Centre,London,25/02/2015,31/01/2016,2:1,University of Nottingham,History
Testing,Testing,615,First Name Surname 615,Leeds Centre,London,25/02/2015,31/01/2016,2:1,University of Brighton,Politics
Testing,Testing,625,First Name Surname 625,Leeds Centre,London,25/02/2015,31/01/2016,2:1,University of Glasgow,Geography and Environmental Sciences
Testing,Testing,626,First Name Surname 626,Leeds Centre,London,25/02/2015,31/01/2016,2:1,Open University,Mechanical Engineering
Testing,Testing,627,First Name Surname 627,Leeds Centre,London,25/02/2015,31/01/2016,2:1,London Metropolitan University,Accounting and Finance
Testing,Testing,616,First Name Surname 616,Leeds Centre,London,26/02/2015,31/01/2016,2:2,University of Essex,Electrical and Electronic Engineering
PMO,Business Analysis,638,First Name Surname 638,Leeds Centre,London,02/03/2015,26/02/2016,2:2,Nottingham Trent University,Mathematics
Business Analysis,Business Analysis,643,First Name Surname 643,Birmingham New Street,London,02/03/2015,29/02/2016,2:2,University of Brighton,Forensic Computing
MX.3 Support,Consulting,604,First Name Surname 604,Moorgate,London,02/03/2015,01/03/2016,2:2,Nottingham Trent University,Geography and Environmental Sciences
Development (.Net),Consulting,606,First Name Surname 606,Moorgate,London,02/03/2015,01/03/2016,2:2,University College London,Chemistry
PMO,Data Services,662,First Name Surname 662,Moorgate,London,02/03/2015,03/03/2016,2:1,University of St Andrews,Physics and Astronomy
Testing,Testing,657,First Name Surname 657,Birmingham New Street,London,02/03/2015,31/03/2016,2:1,University of Liverpool,Economics
Development (.Net),Consulting,573,First Name Surname 573,Leeds Centre,London,02/03/2015,31/03/2016,2:1,University of York,Electrical and Electronic Engineering
Development (.Net),Consulting,574,First Name Surname 574,Leeds Centre,London,02/03/2015,31/03/2016,2:1,University of Abertay,Accounting and Finance
Development (Java),Consulting,599,First Name Surname 599,Leeds Centre,London,02/03/2015,31/03/2016,1,University of Chester,Civil Engineering
Development (Java),Consulting,619,First Name Surname 619,Leeds Centre,London,02/03/2015,26/08/2016,2:2,London Metropolitan University,Computer Science
PMO,Support,641,First Name Surname 641,Edinburgh,Leeds,02/03/2015,04/09/2016,2:1,University of Glasgow,Politics
Testing,Testing,646,First Name Surname 646,Birmingham New Street,Leeds,04/03/2015,29/01/2016,2:1,University of Abertay,Electrical and Electronic Engineering
Testing,Testing,648,First Name Surname 648,Birmingham New Street,Leeds,04/03/2015,03/03/2016,2:2,Open University,Computer Science
PMO,Data Services,600,First Name Surname 600,Leeds Centre,London,06/03/2015,05/03/2016,1,University of Brighton,Accounting and Finance
Testing,Testing,628,First Name Surname 628,Birmingham New Street,London,09/03/2015,13/01/2016,3,University of Reading,Mechanical Engineering
Testing,Testing,629,First Name Surname 629,Birmingham New Street,London,09/03/2015,13/01/2016,2:1,De Montfort University,Aeronautical Engineering
Testing,Testing,630,First Name Surname 630,Birmingham New Street,London,09/03/2015,13/01/2016,2:1,University College London,Psychology
Data Analyst,Data Services,654,First Name Surname 654,Moorgate,London,09/03/2015,07/03/2016,2:1,London Metropolitan University,Forensic Computing
PMO,PMO,655,First Name Surname 655,Moorgate,London,09/03/2015,07/03/2016,2:1,Coventry University,Biological Sciences
Development (.Net),Consulting,609,First Name Surname 609,Edinburgh,Leeds,09/03/2015,08/03/2016,2:1,University of Leicester,Physics and Astronomy
Application Support,Support,683,First Name Surname 683,Birmingham New Street,London,09/03/2015,25/03/2016,3,Glasgow Caledonian University,Physics and Astronomy
Development (.Net),Consulting,602,First Name Surname 602,Edinburgh,Leeds,09/03/2015,27/05/2016,2:2,University of Liverpool,Mathematics
Development (.Net),Consulting,633,First Name Surname 633,Edinburgh,Leeds,09/03/2015,27/05/2016,3,University of Nottingham,Computer Science
Development (.Net),Consulting,634,First Name Surname 634,Edinburgh,Leeds,09/03/2015,27/05/2016,2:1,University of Leicester,Forensic Computing
Testing,Testing,679,First Name Surname 679,Newcastle,London,09/03/2015,30/06/2016,1,University of Central Lancashire,Marketing
Application Support,Support,594,First Name Surname 594,Oxford Circus,London,09/03/2015,30/09/2016,3,Loughbourgh University,Geography and Environmental Sciences
Data Analyst,Data Services,680,First Name Surname 680,Birmingham New Street,London,10/03/2015,31/03/2016,2:2,Swansea University,Politics
Data Analyst,Data Services,681,First Name Surname 681,Birmingham New Street,London,10/03/2015,31/03/2016,2:1,University of York,Civil Engineering
PMO,Testing,682,First Name Surname 682,Birmingham New Street,London,10/03/2015,31/03/2016,2:2,University of Manchester,Electrical and Electronic Engineering
Testing,Testing,645,First Name Surname 645,Birmingham New Street,Leeds,11/03/2015,04/03/2016,2:1,University of Manchester,Civil Engineering
Testing,Testing,664,First Name Surname 664,Leeds Centre,London,11/03/2015,08/03/2016,1,University of St Andrews,Economics
Application Support,Support,613,First Name Surname 613,Leeds Centre,London,12/03/2015,22/02/2016,2:2,Bangor University,Marketing
PMO,PMO,667,First Name Surname 667,Leeds Centre,London,16/03/2015,23/12/2015,2:2,Manchester Metropolitan University,Computer Science
PMO,Business Intelligence,700,First Name Surname 700,Birmingham New Street,London,16/03/2015,11/03/2016,2:2,University College London,Biological Sciences
PMO,Business Intelligence,701,First Name Surname 701,Birmingham New Street,London,16/03/2015,11/03/2016,1,University of York,Physics and Astronomy
Development (.Net),Consulting,649,First Name Surname 649,Oxford Circus,London,16/03/2015,15/03/2016,1,University of Reading,Chemistry
Application Support,Support,618,First Name Surname 618,Birmingham New Street,London,16/03/2015,15/03/2016,2:2,Swansea University,Accounting and Finance
Application Support,Support,677,First Name Surname 677,Birmingham New Street,London,16/03/2015,15/03/2016,2:2,University of Chester,Geography and Environmental Sciences
Development (.Net),Consulting,605,First Name Surname 605,Moorgate,London,16/03/2015,15/03/2016,3,De Montfort University,History
Business Analysis,Testing,685,First Name Surname 685,Birmingham New Street,London,16/03/2015,30/03/2016,1,University of Liverpool,Marketing
Testing,Testing,668,First Name Surname 668,Birmingham New Street,London,16/03/2015,31/03/2016,2:1,Swansea University,History
PMO,Testing,669,First Name Surname 669,Birmingham New Street,London,16/03/2015,31/03/2016,2:2,University of Huddersfield,Economics
Application Support,Testing,670,First Name Surname 670,Birmingham New Street,London,16/03/2015,31/03/2016,1,University of Essex,Mathematics
Testing,Testing,684,First Name Surname 684,Birmingham New Street,London,16/03/2015,31/03/2016,3,University of Brighton,Geography and Environmental Sciences
Development (Java),Consulting,601,First Name Surname 601,Leeds Centre,London,16/03/2015,31/03/2016,2:2,University of East Anglia,Accounting and Finance
PMO,PMO,686,First Name Surname 686,Leeds Centre,London,16/03/2015,17/06/2016,2:2,University of Glasgow,Mathematics
PMO,PMO,702,First Name Surname 702,Edinburgh,Leeds,16/03/2015,19/09/2016,2:1,University of Sheffield,Mechanical Engineering
PMO,PMO,678,First Name Surname 678,Leeds Centre,London,17/03/2015,31/12/2015,2:2,Glasgow Caledonian University,Economics
PMO,PMO,644,First Name Surname 644,Newcastle,London,17/03/2015,15/03/2016,2:2,University College London,Physics and Astronomy
Business Analysis,Business Analysis,650,First Name Surname 650,Newcastle,London,17/03/2015,15/03/2016,2:2,University of Chester,Electrical and Electronic Engineering
PMO,PMO,651,First Name Surname 651,Newcastle,London,17/03/2015,15/03/2016,3,Glasgow Caledonian University,Biological Sciences
PMO,PMO,652,First Name Surname 652,Newcastle,London,17/03/2015,15/03/2016,2:1,University of Glasgow,Accounting and Finance
Development (Java),Consulting,592,First Name Surname 592,Birmingham New Street,Glasgow,19/03/2015,04/03/2016,2:1,University of York,Politics
PMO,PMO,656,First Name Surname 656,Leeds Centre,London,19/03/2015,04/03/2016,2:2,University of St Andrews,Biological Sciences
PMO,Support,639,First Name Surname 639,Leeds Centre,London,23/03/2015,18/12/2015,2:1,University of Reading,Accounting and Finance
Development (Java),Consulting,623,First Name Surname 623,Moorgate,Glasgow,23/03/2015,25/12/2015,3,University of Central Lancashire,Electrical and Electronic Engineering
Development (Java),Consulting,624,First Name Surname 624,Moorgate,Glasgow,23/03/2015,25/12/2015,3,University of Essex,Games Design
PMO,Data Services,715,First Name Surname 715,Newcastle,Leeds,23/03/2015,31/12/2015,2:1,University of St Andrews,Chemical Engineering
PMO,Business Analysis,706,First Name Surname 706,Leeds Centre,London,23/03/2015,22/03/2016,3,University of Liverpool,Physics and Astronomy
Business Analysis,Business Analysis,707,First Name Surname 707,Leeds Centre,London,23/03/2015,22/03/2016,3,University of Glasgow,Modern Languages
PMO,Business Analysis,708,First Name Surname 708,Leeds Centre,London,23/03/2015,22/03/2016,1,London Metropolitan University,Civil Engineering
Business Analysis,Business Analysis,675,First Name Surname 675,Leeds Centre,London,23/03/2015,22/03/2016,2:1,University of Abertay,Marketing
PMO,Data Services,653,First Name Surname 653,Edinburgh,Leeds,23/03/2015,22/03/2016,2:2,University of St Andrews,Marketing
Development (Java),Consulting,658,First Name Surname 658,Edinburgh,Leeds,23/03/2015,22/03/2016,2:1,University of Abertay,Computer Science
Development (Java),Consulting,659,First Name Surname 659,Edinburgh,Leeds,23/03/2015,22/03/2016,3,University of Glasgow,Economics
Application Support,Support,671,First Name Surname 671,Edinburgh,Leeds,23/03/2015,22/03/2016,2:2,University of Portsmouth,Physics and Astronomy
Testing,Testing,672,First Name Surname 672,Edinburgh,Leeds,23/03/2015,22/03/2016,2:1,University of Sheffield,Economics
Application Support,Support,640,First Name Surname 640,Newcastle,London,23/03/2015,30/06/2016,2:2,Bangor University,Robotics
Business Analysis,Data Services,661,First Name Surname 661,Newcastle,London,24/03/2015,23/03/2016,2:2,University of Central Lancashire,Computer Science
PMO,Data Services,663,First Name Surname 663,Newcastle,London,24/03/2015,23/03/2016,2:1,University of Chester,Biological Sciences
Testing,Testing,710,First Name Surname 710,Birmingham New Street,Glasgow,25/03/2015,31/12/2015,2:2,University of Chester,Games Design
Testing,Testing,711,First Name Surname 711,Birmingham New Street,Glasgow,25/03/2015,31/12/2015,2:2,University of Sheffield,Mathematics
Testing,Testing,723,First Name Surname 723,Birmingham New Street,Leeds,25/03/2015,29/01/2016,2:2,University of Liverpool,Mathematics
Data Analyst,Business Analysis,714,First Name Surname 714,Leeds Centre,London,25/03/2015,24/03/2016,3,Coventry University,Geography and Environmental Sciences
Development (.Net),Consulting,717,First Name Surname 717,Birmingham New Street,Leeds,26/03/2015,25/03/2016,2:2,University of Sheffield,Politics
Development (Java),Consulting,718,First Name Surname 718,Birmingham New Street,Leeds,26/03/2015,25/03/2016,1,University of Liverpool,Business and Management Studies
PMO,PMO,726,First Name Surname 726,Leeds Centre,London,27/03/2015,27/03/2016,2:1,Newcastle University ,Computer Science
Testing,Testing,712,First Name Surname 712,Birmingham New Street,Glasgow,30/03/2015,31/12/2015,2:1,Cardiff University,Physics and Astronomy
Testing,Testing,704,First Name Surname 704,Birmingham New Street,Leeds,30/03/2015,19/02/2016,1,University of Liverpool,Modern Languages
Data Analyst,Data Services,666,First Name Surname 666,Birmingham New Street,Glasgow,30/03/2015,18/03/2016,2:2,Cardiff University,Forensic Computing
Data Analyst,Data Services,665,First Name Surname 665,Birmingham New Street,Glasgow,30/03/2015,21/03/2016,2:1,University of East Anglia,History
PMO,PMO,676,First Name Surname 676,Leeds Centre,London,30/03/2015,25/03/2016,2:2,Coventry University,Classics and Ancient History
Testing,Testing,724,First Name Surname 724,Leeds Centre,London,30/03/2015,29/03/2016,2:1,University of Chester,History
Development (.Net),Consulting,722,First Name Surname 722,Oxford Circus,London,01/04/2015,31/12/2015,2:2,University of Salford,Electrical and Electronic Engineering
Development (Java),Consulting,688,First Name Surname 688,Moorgate,London,01/04/2015,25/03/2016,2:1,University of St Andrews,Civil Engineering
Development (Java),Consulting,687,First Name Surname 687,Moorgate,London,02/04/2015,25/03/2016,2:2,University of Leeds,Chemical Engineering
Development (Java),Consulting,689,First Name Surname 689,Moorgate,London,02/04/2015,25/03/2016,2:1,University of St Andrews,Games Design
PMO,Testing,703,First Name Surname 703,Birmingham New Street,Leeds,06/04/2015,19/02/2016,2:2,University of St Andrews,Accounting and Finance
PMO,PMO,725,First Name Surname 725,Oxford Circus,Leeds,07/04/2015,31/12/2015,3,University of York,Classics and Ancient History
Testing,Testing,713,First Name Surname 713,Birmingham New Street,London,07/04/2015,31/03/2016,2:2,University of Liverpool,Mathematics
PMO,Data Services,729,First Name Surname 729,Moorgate,London,09/04/2015,30/06/2016,2:2,University of Nottingham,Economics
PMO,Data Services,730,First Name Surname 730,Moorgate,London,09/04/2015,30/06/2016,3,University of Reading,History
PMO,PMO,731,First Name Surname 731,Newcastle,London,13/04/2015,31/01/2016,2:2,University of Nottingham,Mathematics
Development (Java),Consulting,760,First Name Surname 760,Leeds Centre,London,13/04/2015,12/04/2016,2:1,University of Chester,English
Application Support,Support,709,First Name Surname 709,Newcastle,London,13/04/2015,31/12/2016,2:1,University of Portsmouth,Business and Management Studies
Development (.Net),Consulting,739,First Name Surname 739,Edinburgh,London,20/04/2015,31/12/2015,2:1,University College London,Economics
Development (.Net),Consulting,740,First Name Surname 740,Edinburgh,London,20/04/2015,31/12/2015,2:1,Glasgow Caledonian University,Civil Engineering
Testing,Testing,691,First Name Surname 691,Oxford Circus,London,20/04/2015,21/01/2016,2:1,Nottingham Trent University,Mathematics
Testing,Testing,690,First Name Surname 690,Oxford Circus,London,20/04/2015,22/01/2016,1,University of Reading,Physics and Astronomy
Business,PMO,751,First Name Surname 751,Birmingham New Street,London,20/04/2015,02/04/2016,2:2,University of Huddersfield,Mathematics
PMO,Business Intelligence,735,First Name Surname 735,Birmingham New Street,London,20/04/2015,15/04/2016,2:1,University of Huddersfield,Aeronautical Engineering
PMO,Data Services,728,First Name Surname 728,Leeds Centre,London,20/04/2015,16/04/2016,3,Glasgow Caledonian University,English
PMO,PMO,733,First Name Surname 733,Birmingham New Street,London,20/04/2015,21/04/2016,2:2,University of Reading,Politics
PMO,PMO,734,First Name Surname 734,Moorgate,London,20/04/2015,17/07/2016,2:2,Glasgow Caledonian University,Accounting and Finance
Data Analyst,Data Services,755,First Name Surname 755,Newcastle,London,21/04/2015,04/02/2016,2:2,Open University,Geography and Environmental Sciences
PMO,PMO,756,First Name Surname 756,Edinburgh,Leeds,22/04/2015,21/04/2016,2:2,University of Salford,Marketing
Testing,Testing,846,First Name Surname 846,Newcastle,London,23/04/2015,18/01/2016,2:1,University of Nottingham,Games Design
PMO,PMO,720,First Name Surname 720,Leeds Centre,London,27/04/2015,31/03/2016,1,Manchester Metropolitan University,History
Business,PMO,761,First Name Surname 761,Leeds Centre,London,27/04/2015,31/03/2016,2:2,University of St Andrews,Economics
Technical,PMO,705,First Name Surname 705,Leeds Centre,London,27/04/2015,18/04/2016,2:2,University of Warwick,Forensic Computing
Development (Java),Consulting,727,First Name Surname 727,Edinburgh,London,27/04/2015,24/04/2016,2:1,Loughbourgh University,Biological Sciences
PMO,PMO,752,First Name Surname 752,Edinburgh,Leeds,27/04/2015,26/04/2016,1,London Metropolitan University,Accounting and Finance
Business,Support,770,First Name Surname 770,Moorgate,London,27/04/2015,02/05/2016,3,University of Salford,Business and Management Studies
Data Analyst,PMO,719,First Name Surname 719,Leeds Centre,London,27/04/2015,26/05/2016,2:2,London School of Economics and Politics,Electrical and Electronic Engineering
Development (Java),Testing,716,First Name Surname 716,Leeds Centre,London,04/05/2015,18/12/2015,2:2,Newcastle University ,Civil Engineering
Testing,Testing,767,First Name Surname 767,Birmingham New Street,London,05/05/2015,31/12/2015,2:2,Nottingham Trent University,Politics
Data Analyst,Testing,769,First Name Surname 769,Birmingham New Street,London,05/05/2015,29/02/2016,1,Loughbourgh University,Marketing
Application Support,Support,732,First Name Surname 732,Newcastle,London,05/05/2015,01/05/2016,2:2,University of Portsmouth,Computer Science
Testing,Testing,736,First Name Surname 736,Moorgate,Glasgow,05/05/2015,04/05/2016,2:1,University of Brighton,Chemistry
Testing,Testing,737,First Name Surname 737,Moorgate,Glasgow,05/05/2015,04/05/2016,2:2,University of York,Physics and Astronomy
Testing,Testing,738,First Name Surname 738,Moorgate,Glasgow,05/05/2015,04/05/2016,2:1,Swansea University,Chemistry
Development (Java),Support,741,First Name Surname 741,Edinburgh,Leeds,05/05/2015,04/05/2016,2:1,University of Liverpool,Aeronautical Engineering
Data Analyst,Data Services,793,First Name Surname 793,Leeds Centre,London,06/05/2015,29/01/2016,2:1,University of Glasgow,Economics
Development (Java),Consulting,673,First Name Surname 673,Newcastle,London,06/05/2015,05/05/2016,2:1,Loughbourgh University,Mathematics
Development (Java),Consulting,674,First Name Surname 674,Newcastle,London,06/05/2015,05/05/2016,2:1,University of Liverpool,Economics
Testing,Testing,773,First Name Surname 773,Birmingham New Street,London,11/05/2015,31/03/2016,3,Nottingham Trent University,Mechanical Engineering
Development (Java),Consulting,771,First Name Surname 771,Moorgate,London,11/05/2015,31/03/2016,2:2,University of Essex,Chemistry
Development (Java),Consulting,772,First Name Surname 772,Moorgate,London,11/05/2015,31/03/2016,2:2,Cardiff University,Chemistry
Development (Java),Consulting,699,First Name Surname 699,Leeds Centre,London,11/05/2015,01/07/2016,2:2,University of Salford,Business and Management Studies
Testing,Testing,742,First Name Surname 742,Leeds Centre,London,18/05/2015,02/12/2015,2:2,De Montfort University,Accounting and Finance
Testing,Testing,806,First Name Surname 806,Birmingham New Street,Leeds,18/05/2015,18/12/2015,2:2,University of Nottingham,Marketing
Testing,Data Services,746,First Name Surname 746,Birmingham New Street,Glasgow,18/05/2015,31/12/2015,2:1,University of Reading,Aeronautical Engineering
PMO,Data Services,747,First Name Surname 747,Birmingham New Street,Glasgow,18/05/2015,31/12/2015,2:2,London School of Economics and Politics,Computer Science
PMO,Testing,776,First Name Surname 776,Leeds Centre,Leeds,18/05/2015,31/12/2015,2:1,London Metropolitan University,Computer Science
Testing,Testing,777,First Name Surname 777,Leeds Centre,Leeds,18/05/2015,31/12/2015,2:1,University of St Andrews,Accounting and Finance
Testing,Testing,778,First Name Surname 778,Leeds Centre,Leeds,18/05/2015,31/12/2015,1,De Montfort University,Economics
PMO,Business Analysis,785,First Name Surname 785,Leeds Centre,Leeds,18/05/2015,31/12/2015,3,University of Leicester,Physics and Astronomy
PMO,Business Analysis,786,First Name Surname 786,Leeds Centre,Leeds,18/05/2015,31/12/2015,2:2,Loughbourgh University,Mechanical Engineering
Business,Business Analysis,787,First Name Surname 787,Leeds Centre,Leeds,18/05/2015,31/12/2015,2:1,University of Nottingham,Electrical and Electronic Engineering
PMO,Data Services,743,First Name Surname 743,Leeds Centre,London,18/05/2015,31/12/2015,1,Bangor University,Computer Science
PMO,Data Services,744,First Name Surname 744,Leeds Centre,London,18/05/2015,31/12/2015,2:2,Newcastle University ,Politics
Data Analyst,Data Services,745,First Name Surname 745,Leeds Centre,London,18/05/2015,31/12/2015,3,University of Liverpool,Civil Engineering
Business Analysis,Data Services,748,First Name Surname 748,Leeds Centre,London,18/05/2015,31/12/2015,3,Swansea University,Economics
Data Analyst,Data Services,749,First Name Surname 749,Leeds Centre,London,18/05/2015,31/12/2015,3,Nottingham Trent University,Geography and Environmental Sciences
PMO,Data Services,750,First Name Surname 750,Leeds Centre,London,18/05/2015,31/12/2015,3,University of Leicester,Electrical and Electronic Engineering
PMO,PMO,781,First Name Surname 781,Leeds Centre,London,18/05/2015,22/03/2016,3,Glasgow Caledonian University,Robotics
Testing,Testing,721,First Name Surname 721,Edinburgh,Glasgow,18/05/2015,12/04/2016,1,Nottingham Trent University,Forensic Computing
Development (Java),Consulting,660,First Name Surname 660,Leeds Centre,London,18/05/2015,17/05/2016,2:2,University of York,Chemistry
Data Analyst,Business Analysis,795,First Name Surname 795,Birmingham New Street,London,18/05/2015,20/05/2016,3,London School of Economics and Politics,Mechanical Engineering
Data Analyst,PMO,822,First Name Surname 822,Newcastle,London,19/05/2015,28/01/2016,1,Swansea University,Chemistry
PMO,Business Analysis,789,First Name Surname 789,Moorgate,Leeds,19/05/2015,13/05/2016,2:1,University of Central Lancashire,Classics and Ancient History
PMO,Business Analysis,790,First Name Surname 790,Moorgate,Leeds,19/05/2015,13/05/2016,3,University of Nottingham,Modern Languages
